Number		Date		Shift
1		07/28/2018	07:00-15:00
2		07/29/2018	07:00-15:00
3		08/04/2018	07:00-15:00
4		08/05/2018	07:00-15:00
5		08/25/2018	07:00-15:00
6		09/01/2018	23:00-07:00
7		09/02/2018	23:00-07:00
8		09/15/2018 	23:00-07:00
9		09/16/2018	23:00-07:00
10		09/22/2018	23:00-07:00
11		09/23/2018	23:00-07:00
12		10/06/2018	23:00-07:00
13		10/07/2018	23:00-07:00
14		10/13/2018	23:00-07:00
15		10/14/2018	23:00-07:00
16		10/27/2018	23:00-07:00
17		10/28/2018	23:00-07:00
18		10/31/2018	23:00-07:00
19		11/01/2018	23:00-07:00
20		11/02/2018	23:00-07:00
21		11/03/2018	23:00-07:00
22		11/07/2018	23:00-07:00
23		11/08/2018	23:00-07:00
24		11/09/2018	23:00-07:00
25		11/10/2018	23:00-07:00
26		11/14/2018	23:00-07:00
27		11/15/2018	23:00-07:00
28		11/16/2018	23:00-07:00
29		11/17:2018	23:00-07:00
30		11/21/2018	23:00-07:00
31		11/22/2018	23:00-07:00
32		11/23/2018	23:00-07:00
33		11/24/2018	23:00-07:00
34		11/29/2018	23:00-07:00
35		11/30/2018	23:00-07:00
36		12/01/2018	23:00-07:00
37		12/02/2018	23:00-07:00
38		12/08/2018	23:00-07:00
39		12/09/2018	23:00-07:00
40		12/15/2018	23:00-07:00
41		12/16/2018	23:00-07:00
42		12/22/2018	23:00-07:00	
43		12/23/2018	23:00-07:00
44		12/29/2018	23:00-07:00
45		12/30/2018	23:00-07:00
46		01/01/2019	07:00-15:00
47		01/11/2019	23:00-07:00
48		01/12/2019	23:00-07:00
49		01/13/2019	23:00-07:00
50		01/18/2019	23:00-07:00
51		01/19/2019	23:00-07:00
52		01/20/2019	23:00-07:00
53		01/25/2019	23:00-07:00
54		01/26/2019	23:00-07:00
55		01/27/2019	23:00-07:00
56		02/02/2019	23:00-07:00
57		02/03/2019	23:00-07:00
58		02/09/2019	23:00-07:00
59		02/10/2019	23:00-07:00
60		02/16/2019	23:00-07:00
61		02/17/2019	23:00-07:00
62		02/23/2019	23:00-07:00
63		02/24/2019	23:00-07:00
64		03/02/2019	23:00-07:00
65		03/03/2019	23:00-07:00
**********RAISE DAY**********CONTACT JESSICA************************************************************
